Datum export;20210908 07:17;;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;�g/m�;20210801 03:00;20210801 04:00;10.03;8.06;7.36;10.25;13.38;15.21;11.7;8.12;9.22;10.71;11.93;10.12;8.42;12.78;7.37;18.76;28.8;7.51;9.83;8.73;22;20.44;30.17;13.41;15.8;12.03;10.39;11.73;11.87;13.82;11.21;11.77;8.53;10.9;11.64;9.71;7.86;7.18;6.51;;2.07;5.83;3.13
NO2;uur;�g/m�;20210801 04:00;20210801 05:00;12.27;7.66;5.45;10.29;9.52;13.21;10.82;9.47;9.79;14.61;13.67;13.92;8.16;16.93;7.54;21.93;33.47;9.04;11.74;13.32;24.34;23.33;35.53;13.83;11.75;10.88;13.87;10.96;10.94;13.78;10.38;9.63;9.45;11.15;11.99;10.48;8;8.17;10.42;;1.83;8.49;3.05
NO2;uur;�g/m�;20210801 05:00;20210801 06:00;14.65;7.76;8.85;9.76;9.85;14.52;9.65;8.79;9.24;13.38;12.7;11.7;7.2;15.59;6.66;26.71;28.2;8.38;16.19;9.03;27.28;22.87;30.29;14.83;11.02;10.6;14.1;9.66;11.45;13.04;9.22;11.4;9.74;11.02;15.54;10.86;9.49;8.33;11.7;;1.94;8.04;3.75
NO2;uur;�g/m�;20210801 06:00;20210801 07:00;12.31;7.33;10.96;7.69;7.83;12.74;12.33;5.96;6.79;12.39;10.56;10.23;5.9;14.76;5.85;26.82;25.74;9.33;10.23;8.62;28.84;21.39;28.9;35.9;12.21;10.01;13.66;10.27;13.11;12.89;10.16;14.1;8.46;11.4;14.46;13.32;9.32;8.48;8.25;;2.56;10.6;4.05
NO2;uur;�g/m�;20210801 07:00;20210801 08:00;8.49;5.67;6.24;6.67;6.2;9.12;15.78;5.77;6.17;14.34;11.49;11.29;5.3;11.87;5.25;16.57;25.17;9.42;9.81;5.06;23.18;17.9;26.55;5.92;11.23;8.49;11.48;12.94;15.73;13.12;11.93;10.53;8.78;9.95;14.14;11.31;8.15;8.13;6.14;;2.69;8.73;3.25
NO2;uur;�g/m�;20210801 08:00;20210801 09:00;5.51;4.22;6.08;5.44;5.3;10.05;11.87;5.35;6.84;17.6;16.4;10.79;5.21;9.28;5.64;4.34;23.26;7.52;11.62;3.99;14.33;17.33;26.43;1.53;9.61;7.82;11.64;10.67;11.68;12.23;8.07;7.7;9.04;9.8;12.41;11.92;7.25;6.79;2.32;;1.49;9.97;4.85
NO2;uur;�g/m�;20210801 09:00;20210801 10:00;5.02;3.81;3.63;6.91;6.06;7.61;8.66;6.11;10.03;16.1;16.69;7.3;5.78;3.4;7.08;5.18;25.72;5.52;11.12;2.47;10.22;7.15;13.46;1.12;9.32;6.46;12.19;9.2;8.93;16.17;7.49;7.33;9.17;8.14;14.23;10.44;5.7;6.04;1.77;;0.84;7.58;2.83
NO2;uur;�g/m�;20210801 10:00;20210801 11:00;3.98;3.83;2.84;7.28;4.94;7.44;8.13;6.82;9.05;13.03;11.58;4.29;5.5;3.61;4.31;4;14.83;4.07;7.11;2.61;8.9;5.7;9.82;1.51;8.75;3.83;4.28;13.77;9.74;17.55;8.42;6.24;7.59;6.09;12.06;9.93;5.48;2.39;1.64;;0.84;9.02;1.34
NO2;uur;�g/m�;20210801 11:00;20210801 12:00;3.42;3.66;3.11;8.62;4.24;6.65;4.32;7.04;8.2;12.9;6.04;4.07;5.58;2.28;7.83;3.59;6.3;2.9;13.47;2.03;9.43;6.38;10.77;1.26;7.85;3.56;3.57;8.57;9.3;13.08;4.07;5.35;11.89;6.2;8.56;7.34;4.41;2.94;1.25;;0.79;9.25;1.16
NO2;uur;�g/m�;20210801 12:00;20210801 13:00;3.6;3.78;3.19;9.05;4.77;4.87;4.38;10.15;12.7;9.29;5.28;3.17;4.79;1.75;9.42;3.5;5.99;1.81;15.45;1.93;9.34;5.54;8.38;1.09;9.73;2.47;1.94;13.31;10.08;12.29;4.4;2.66;4.84;4.62;11.31;10.09;2.12;3.03;1.06;;0.77;8.72;1.33
NO2;uur;�g/m�;20210801 13:00;20210801 14:00;2.93;3.25;3.68;8.35;3.45;3.84;3.77;8.71;12.71;14.01;8.95;2.42;6.66;1.56;3.63;2.73;4.94;2.1;8.36;1.88;9.66;5.17;9.78;1.32;10.85;1.63;1.94;8.96;6.52;14.26;3.91;1.77;4;4.69;13.8;7.81;2.45;2.68;1.02;;0.73;7.03;1.36
NO2;uur;�g/m�;20210801 14:00;20210801 15:00;4.59;2.7;3.53;9.4;4.29;2.09;2.19;17.17;15.07;10.05;3.17;1.94;3.87;1.26;1.91;3;5.09;3.98;7.29;1.53;12.9;5.84;4.96;1.11;6.02;1.21;1.6;6.36;4.43;13.37;3.87;1.81;4.99;3.55;17.46;11.27;1.9;1.71;1.03;;0.59;7.55;1.06
NO2;uur;�g/m�;20210801 15:00;20210801 16:00;4.01;4.55;2.66;10.44;4.43;3.22;2.37;9.72;9.14;7.06;2.08;1.85;2.74;1.13;3.56;3.67;5.07;10.33;3.91;1.26;9.78;4.57;4.49;1.04;5.19;0.91;1.06;5.68;7.28;13.11;3.33;6.4;5.01;2.29;13.9;11.57;1.65;1.35;0.93;;0.7;5.16;1.22
NO2;uur;�g/m�;20210801 16:00;20210801 17:00;4.45;4.21;1.79;7.25;2.81;3.19;1.82;10.01;12.87;8.79;7.99;4.04;4.82;1.65;1.24;2.49;5.66;6.38;3.6;1.44;9.97;5.49;4.26;1.04;5.37;0.95;0.94;7.75;6.39;13.57;5.61;1.5;4.55;1.26;12.24;7.72;1.22;1.43;0.94;;0.88;6.15;1.33
NO2;uur;�g/m�;20210801 17:00;20210801 18:00;4.74;4.28;4.16;7.41;3.46;3.9;2.04;11.96;12.56;8.91;6.68;4.63;4.14;1.77;2.84;3.86;5.87;7.47;4.12;1.39;13.08;4.48;4.73;0.83;3.64;1.14;1.07;9.72;8.19;13.99;7.61;1.51;3.53;1.3;10.5;5.68;0.91;1.26;0.72;;1.06;6.84;1.56
NO2;uur;�g/m�;20210801 18:00;20210801 19:00;5.41;4.66;2.85;8.66;4.73;4.09;2.78;10.23;10.7;9.38;9.55;8.16;4.34;1.55;4.1;4.88;6.32;5.31;3.61;1.72;14.59;6.43;7.19;1.11;4.44;0.85;0.84;9.54;14.57;18.15;6.64;1.41;3.37;1.15;11.91;6.59;0.77;1.73;0.66;;0.55;7.13;1.4
NO2;uur;�g/m�;20210801 19:00;20210801 20:00;5.31;5.48;5.74;12.45;5.67;5.03;3.18;11.02;11.91;10.02;6.8;6.66;4.93;1.39;11.73;2.93;8.02;6.35;4.39;1.21;10.95;6.74;7.36;0.7;6.09;1.6;1.16;13.95;13.28;18.78;10.61;1.72;4.87;1.63;11.31;6.1;0.83;1.33;1;;0.9;8.48;2.25
NO2;uur;�g/m�;20210801 20:00;20210801 21:00;7.03;6.31;6.46;15.61;9.09;2.21;6.34;10.63;12.39;8.13;7.83;9.48;7.66;2.19;7.92;4.12;9.74;7.54;4.81;1.63;15.22;8.44;13.22;2.08;8.12;2;2.31;16.07;11.18;16.65;8.63;2.61;7.32;3.35;10.49;6.44;1.04;3.41;0.91;;0.72;8.77;3.39
NO2;uur;�g/m�;20210801 21:00;20210801 22:00;7.95;5.68;5.09;11.09;5.76;2.88;7.36;10.8;14.1;10.79;9.94;6.65;5.91;2.41;2.29;3.95;11.05;11.56;4.73;1.93;15.78;8.03;18.88;3.5;4.56;1.86;3.07;15.84;11.83;20.71;7.92;4.82;6.33;3.37;15.26;10.7;3.16;3.4;1.49;;1.3;5.8;4.13
NO2;uur;�g/m�;20210801 22:00;20210801 23:00;7.69;8.61;5.5;7.9;5.34;3.21;5.57;11.05;17.04;15.01;9.6;5.58;5.37;2.44;4.64;3.9;12.14;11.47;4.2;2.76;13.44;7.35;13.6;3.67;8.7;2.07;3.88;17.03;9.97;19.04;10.36;5.24;5.43;3.18;14.6;11.04;5.51;2.94;1.48;;1.13;5.06;3.48
NO2;uur;�g/m�;20210801 23:00;20210802 00:00;8.84;6.09;5.86;8.45;6;5.31;5.33;11.79;22.22;18.16;12.55;5.9;6.21;2.65;3.54;3.21;9.51;7.97;3.77;2.09;12.61;9.55;9.17;2.06;11.73;2.33;3.76;15.44;8.75;16.92;10.17;4.79;4.9;5.27;12.93;11.83;5.1;2.54;1.46;;1.82;5.12;3.3
NO2;uur;�g/m�;20210802 00:00;20210802 01:00;8.08;11.81;4.76;10.09;6.33;7.64;5.19;10.38;13.48;18;;6.32;7.47;1.78;3.9;4.36;5.72;5.67;5.81;1.68;;5.13;7.57;1.87;5.68;2.03;4.89;13.57;9.67;16.04;11.79;4.55;6.95;5.81;12.83;18.09;5.6;3.74;1;;2.22;4.78;2.45
NO2;uur;�g/m�;20210802 01:00;20210802 02:00;7.09;11.23;4.86;7.61;5.92;10.89;6.55;9.4;13.72;19.07;18.46;5.54;8.2;1.58;3.09;4.77;6.44;4.53;5.07;1.74;5.17;5.78;6.5;1.96;2.63;2.19;6.23;9.07;8.67;12.21;7.54;6.48;6.27;6.08;21.38;14.96;4.79;3.51;1.57;;1.55;4.22;2.2
NO2;uur;�g/m�;20210802 02:00;20210802 03:00;6.89;9.32;3.98;8.59;5.4;13.36;8.05;11.77;12.33;15;14.93;6.3;7.99;2.9;3.32;2.61;4.92;4.95;6.29;1.59;3.67;7.24;7.3;1.21;3.1;2.51;6.96;7.41;8.68;8.86;6.21;6.4;6.06;7.57;24.79;19.97;4.32;1.7;1.21;;1.66;4.7;2.05
NO2;uur;�g/m�;20210802 03:00;20210802 04:00;5.59;11.97;3.59;8.44;5.33;12.09;8.06;13.2;20.3;14.1;12.88;5.73;7.7;2.96;3.43;3.48;6.19;4.44;11.33;2.71;3.96;10.2;18.79;1.71;2.16;2.64;6.99;10.83;8.7;11.11;8.43;5.67;5.9;8.11;19.96;13.6;4.97;1.85;1.14;;0.93;2.68;1.69
NO2;uur;�g/m�;20210802 04:00;20210802 05:00;6.12;11.03;4.53;11.77;5.13;11.82;4.96;13.63;23.85;23.86;16.59;3.79;9.94;2.3;3.31;3.96;10.78;8.19;13.14;2.22;14.01;20.9;37.8;1.47;4.85;2.96;7.16;8.6;12.9;16.01;6.57;5.87;4.8;6.61;21.13;17.02;5.45;1.26;1.25;;1.2;2.37;1.56
NO2;uur;�g/m�;20210802 05:00;20210802 06:00;13.02;16.25;5.73;15.77;7.18;20.9;5.59;22.81;41.25;31.08;25.34;8.91;9.85;5.85;3.54;5.74;20.39;18.15;24.01;1.98;13.67;34;51.31;3.66;16.07;4.52;8.04;21.01;31.58;23.86;11.37;8.29;5.32;6.32;19.84;20.62;6.89;3.92;1.56;;1.29;8.25;2.62
NO2;uur;�g/m�;20210802 06:00;20210802 07:00;11.47;15.95;6.29;27.05;9.11;13.32;6.91;29.94;34.79;35.81;29.62;9.45;11.09;4.14;3.92;6.19;27.41;20.71;27.7;1.49;14.14;35.32;49.9;6.53;25.91;5.32;6.72;28.82;29.06;21.43;18.17;10.87;6.72;7.13;27.49;22.89;5.8;3.1;1.51;;1.49;12.79;5.11
NO2;uur;�g/m�;20210802 07:00;20210802 08:00;11.48;13.47;3.87;27.06;7.99;9.5;11.07;25.99;28.01;28.41;17.74;11.84;9.62;3.99;10.25;6.74;16.06;10.66;14.7;1.36;18.41;10.49;25.98;3.32;18.74;5.19;9.33;21.45;22.28;23.42;12.03;9.44;7.42;6.58;23.68;18.22;4.77;1.5;1.55;;1.54;9.71;4.29
NO2;uur;�g/m�;20210802 08:00;20210802 09:00;9.05;9.37;6.43;26.12;4.83;8.55;5.5;14.45;20.39;10.6;9.94;9.93;6.3;1.3;8.76;8.81;11.01;10.63;9.3;1.58;19;12.67;9.94;1.83;8.55;2.81;5.46;8.89;9.22;29.6;5.03;5.54;4.93;5.79;13.45;9.68;4.29;2.76;1.06;;0.84;10.72;2.9
NO2;uur;�g/m�;20210802 09:00;20210802 10:00;8.83;5.15;5.82;18.96;6.27;8.2;3.76;9.6;15.36;13.48;10.62;7.56;4.58;1.83;5.55;7.03;9.2;11.82;6.83;1.79;15.33;10.68;15.23;1.04;9.67;1.86;2.21;8.04;13.02;23.97;6.63;3.32;3.21;2.55;10.38;6.6;2.39;1.46;0.88;;0.91;6.68;1.84
NO2;uur;�g/m�;20210802 10:00;20210802 11:00;6.27;2.7;5.87;18.79;4.98;6.69;3.04;9.74;14.93;25.36;15.86;7.01;4.41;3.41;3.8;3.84;7.87;9.14;7.33;1.88;12.63;6.14;17.01;1.25;8.7;1.64;2.97;11.33;11.33;26.34;6.31;2.63;4.44;3.74;11.88;6.24;2.62;0.67;0.95;;1.57;10.2;2.46
NO2;uur;�g/m�;20210802 11:00;20210802 12:00;3.87;2.72;4.67;21.81;5.46;4.89;2.15;9.98;13.75;11.01;9.29;6.73;4.64;1.63;2.87;4.25;6.55;8.29;3.61;1.79;14.46;6.39;9.88;3.17;6.32;1.14;1.82;13.06;10.2;22;7.18;1.57;3.28;2.34;11.85;6.05;1.93;0.52;0.73;;1.49;8.66;1.63
NO2;uur;�g/m�;20210802 12:00;20210802 13:00;3.88;2.66;4.87;20.27;6.15;7.31;3.24;9.9;15.04;10.18;5.84;6.55;4.37;1.34;3.7;2.95;5.92;8.46;6.57;1.31;9.57;5.43;8.81;1.35;7.4;1.2;1.61;12.71;8.67;19.09;3.96;2.81;2.62;1.74;11.55;5.58;1.36;1.54;0.77;;0.79;7.23;1.31
NO2;uur;�g/m�;20210802 13:00;20210802 14:00;4.89;6.63;5.08;18.03;6.15;8.43;5.02;21.54;22.83;13.03;6.28;5.97;7.39;0.98;2.68;2.38;4.41;12.4;8.2;0.97;11.69;5.28;10.97;3.23;8.73;1.42;1.62;11.11;10.49;18.81;2.94;2.2;3.38;11.44;14.98;6.44;2.14;0.95;0.89;;1.19;9.64;1.28
NO2;uur;�g/m�;20210802 14:00;20210802 15:00;5.72;7.09;4.99;15.06;5.68;8.35;2.35;22.17;27.24;11.33;10.04;6.29;9.69;0.69;2.74;2.47;3.75;11.8;8.89;1.18;12.87;4.65;11.44;1.81;8.13;1.42;1.4;9.43;7.21;17.61;2.89;2.54;2.62;5.42;11.37;5.5;2.42;1.07;1.49;;0.99;8.29;1.31
NO2;uur;�g/m�;20210802 15:00;20210802 16:00;7.32;8.3;6.47;18.17;4.51;7.11;2.15;17.58;20.48;18.12;13.12;2.31;7.53;1.25;1.77;2.06;3.9;11.26;7.2;0.97;9.92;4.81;9.39;1.74;7.29;1.29;1.4;7.56;6.84;15.27;2.46;2.45;8.44;10.16;14.87;10.1;1.77;1.35;1.37;;2.44;11.21;1.2
NO2;uur;�g/m�;20210802 16:00;20210802 17:00;8.49;6.81;4.83;14.19;5.58;8.16;1.66;13.22;21.79;13.04;10.87;2.22;6.62;0.53;2.59;2.3;3.53;14.68;5.97;1.4;12.86;4.06;8.35;1.34;7.35;1.26;1.32;7.19;6.04;17.1;2.19;1.65;5.99;2.48;11.44;5.48;1.79;1.58;1.15;;1.75;9.4;1.94
NO2;uur;�g/m�;20210802 17:00;20210802 18:00;5.78;3.66;4.58;13.93;5.06;9.15;1.57;14.71;15.65;14.03;10.97;2.76;5.02;0.53;3.54;2.3;3.64;10.82;6.3;1.49;12.62;4.62;6.74;1.2;7.33;1.92;1.45;5.39;4.91;14.74;2.94;2.01;4.87;2.15;12.49;5.98;1.38;1.12;1.04;;1.49;8.1;1.72
NO2;uur;�g/m�;20210802 18:00;20210802 19:00;7.83;3.85;5.63;15.12;5.81;9.08;2.5;11.92;21.56;15.09;13.66;3.83;6.46;0.96;8.15;3.49;4.74;15.69;8.15;1.51;12.98;5.9;9.6;2.15;7.27;1.51;1.65;4.49;6.05;17.71;3.77;2.5;4.73;2.45;23.72;8.8;1.38;1.93;1.2;;1.72;7.88;1.7
NO2;uur;�g/m�;20210802 19:00;20210802 20:00;6.96;10.17;5.22;19.23;6.15;7.06;2.61;17.46;31.13;16.98;15.32;8.51;8.29;2.41;9.94;4.93;5.87;10.48;9.59;2.79;14.47;8.22;18.32;2.71;5.01;3.13;2.41;9.07;8.67;22.86;5.25;5.7;5.77;3.8;18.91;8.38;1.71;2.41;1.44;;2.1;8.93;2.8
NO2;uur;�g/m�;20210802 20:00;20210802 21:00;9.07;10.68;7.28;26.97;13.48;12.04;3;34.69;40.64;23.16;17.99;15.97;10.15;3.62;10.34;6.72;7.37;13.84;8.56;4.51;19.39;14.28;25.45;4.33;7.07;3.1;3.16;17.8;15.93;36.59;9.97;9.36;5.25;12.33;26.17;10.65;3.76;5.06;1.82;;1.41;8.11;4.09
NO2;uur;�g/m�;20210802 21:00;20210802 22:00;20.22;11;7.38;32.59;13.66;10.13;4.37;34.2;27.15;30.27;19.84;15.53;16.14;4.52;9.2;10.72;8.23;18.23;13.83;5.98;20.84;36.35;36.52;4.2;20.35;6.84;5.58;22.18;23.37;45.55;11.93;9.49;5.7;18.03;27.15;11.59;5.09;6.91;4.76;;1.47;9.3;4.14
NO2;uur;�g/m�;20210802 22:00;20210802 23:00;18.9;10.33;6.83;30.74;14.67;11.85;5.28;30.62;34.07;46.53;24.84;21.13;15.55;4.38;5.72;14.65;15.56;20.21;17.14;10.16;15.79;58;34.63;9.29;14.26;7.68;8.21;11.3;13.76;42.78;8.59;8.95;6.6;11.87;31.26;14.31;5.53;9.57;5.35;;1.88;8.02;5.6
NO2;uur;�g/m�;20210802 23:00;20210803 00:00;18.43;9.84;4.82;25.11;15.69;14.62;8.12;34.69;37.36;41.27;28.03;17.13;14.33;6.86;7.28;8.64;18.23;18.44;16.55;10.58;14.71;50.2;40.33;8.04;12.26;8.99;13.53;14.52;18.64;39.3;7.8;9.71;5.6;11.18;48.17;22.22;5.09;6.52;6.46;;2.38;6.18;3.88
NO2;uur;�g/m�;20210803 00:00;20210803 01:00;14.74;7.88;5.2;19.87;17.41;16.63;11.21;31.05;32.71;27.92;;15.86;11.81;5.34;6.09;8.12;10.62;18.19;18.72;7.54;13.03;43.78;28.56;4.33;12.24;6.27;17.52;11.79;9.88;40.36;8.55;11.01;7.67;7.64;28.15;20.12;4.47;7.53;7.1;;1.83;8.53;4.78
NO2;uur;�g/m�;20210803 01:00;20210803 02:00;13.12;7.9;5.31;19.86;13.35;15.3;12.36;38.33;27.39;21.47;18.98;15.33;11.66;5.17;5.14;9.55;13.04;20.6;16.13;9.15;10.37;38.99;19.69;5.07;14.87;5.57;17.7;8.55;8.47;31.69;8.48;12.01;8.41;5.78;16.48;12.48;4.09;5.8;5.32;;1.71;7.19;4.4
NO2;uur;�g/m�;20210803 02:00;20210803 03:00;12.8;7.14;4.33;18.46;10.68;14.94;9.96;30.9;33.72;17.11;17.8;13.48;13.39;4.56;6.73;11.82;10.44;19.21;14.1;9.62;13.14;29.93;21.47;5.19;13.89;5.28;17.09;6.8;5.7;20.9;7.03;13.51;8.33;5.72;17.2;15.48;4.06;7.51;4.9;;1.78;6.68;3
